Issue Type,Summary,Description,Priority,Labels
Bug,[Header] Icono campana sin accion,"No ejecuta accion al hacer click en Dashboard/Ventas/Usuarios/Almacen.",Medium,"sprint-02,frontend,header"
Bug,[Header] Icono mensajes sin accion,"No ejecuta accion al hacer click en Dashboard/Ventas/Usuarios/Almacen.",Medium,"sprint-02,frontend,header"
Bug,[Perfil] Opcion Perfil sin ruta funcional,"En menu Administracion, Perfil no navega a una vista implementada.",High,"sprint-02,frontend,perfil"
Bug,[Busqueda global] Ruta inconsistente de usuarios,"Backend devuelve /usuarios y frontend usa /users, falla navegacion desde buscador.",High,"sprint-02,frontend,backend,busqueda"
Bug,[Busqueda global] Riesgo multi-tenant en usuarios,"Consulta de usuarios en SP debe filtrar por tenant para evitar fuga de datos.",High,"sprint-02,backend,security,tenant"
Task,AUTH-03 Sesion valida y rutas privadas,"Validar persistencia de sesion y acceso controlado por token.",High,"sprint-02,qa,p1"
Task,DASH-03 Dashboard por tenant,"Validar carga de metricas sin errores 500.",High,"sprint-02,qa,p1"
Task,USER-01 Retest vista usuarios,"Validar carga de datos reales y estados en UI.",High,"sprint-02,qa,p1,retest"
Task,SALE-01 Retest crear venta,"Validar creacion, descuento stock y respuesta API.",High,"sprint-02,qa,p1,retest"
Task,SALE-02 Retest vista ventas,"Validar listado y detalle con datos reales.",High,"sprint-02,qa,p1,retest"
Task,BUSQ-03 Busqueda global funcional,"Validar resultados y navegacion en todas las vistas.",High,"sprint-02,qa,p1"
Task,TEN-02 Aislamiento tenant en busqueda,"Validar que tenant 1/2 no vean datos cruzados.",High,"sprint-02,qa,p1,security"
Task,PERF-01 Perfil funcional,"Validar accion o ruta operativa para opcion Perfil.",High,"sprint-02,qa,p1"
